group,product,vcoord,line,file,dims,n_vars,vars,time_start,time_end,n_time,title,time_coverage
st,mean,sigma,80,st_mean_sigma_80.nc,potential_density=21; distance=74,9,temperature; salinity; potential_temperature; sigma_t; geostrophic_velocity; doppler_velocity_along; doppler_velocity_across; acoustic_backscatter; doxy,,,,Mean for CUGN Line 80 on Potential Density,2017-01-01T00:00:00Z to 2025-01-01T00:00:00Z
st,mean,sigma,90,st_mean_sigma_90.nc,potential_density=21; distance=107,9,temperature; salinity; potential_temperature; sigma_t; geostrophic_velocity; doppler_velocity_along; doppler_velocity_across; acoustic_backscatter; doxy,,,,Mean for CUGN Line 90 on Potential Density,2017-01-01T00:00:00Z to 2025-01-01T00:00:00Z
st,mean,sigma,al,st_mean_sigma_al.nc,potential_density=21; distance=45,9,temperature; salinity; potential_temperature; sigma_t; geostrophic_velocity; doppler_velocity_along; doppler_velocity_across; acoustic_backscatter; doxy,,,,Mean for CUGN Alongshore Line on Potential Density,2019-01-01T00:00:00Z to 2025-01-01T00:00:00Z
st,total,depth,56,st_total_depth_56.nc,time=259; depth=50; distance=61,10,temperature; salinity; chlorophyll_a; sigma_t; potential_temperature; geostrophic_velocity; doppler_velocity_along; doppler_velocity_across; acoustic_backscatter; doxy,2020-01-01,2026-12-27,259.0,Total for CUGN Line 56,2020-01-01T00:00:00Z to 2026-12-27T00:00:00Z
st,total,depth,66,st_total_depth_66.nc,time=370; depth=50; distance=81,10,temperature; salinity; chlorophyll_a; sigma_t; potential_temperature; geostrophic_velocity; doppler_velocity_along; doppler_velocity_across; acoustic_backscatter; doxy,2017-01-01,2026-12-27,370.0,Total for CUGN Line 66,2017-01-01T00:00:00Z to 2026-12-27T00:00:00Z
st,total,depth,80,st_total_depth_80.nc,time=370; depth=50; distance=74,10,temperature; salinity; chlorophyll_a; sigma_t; potential_temperature; geostrophic_velocity; doppler_velocity_along; doppler_velocity_across; acoustic_backscatter; doxy,2017-01-01,2026-12-27,370.0,Total for CUGN Line 80,2017-01-01T00:00:00Z to 2026-12-27T00:00:00Z
st,total,depth,90,st_total_depth_90.nc,time=370; depth=50; distance=107,10,temperature; salinity; chlorophyll_a; sigma_t; potential_temperature; geostrophic_velocity; doppler_velocity_along; doppler_velocity_across; acoustic_backscatter; doxy,2017-01-01,2026-12-27,370.0,Total for CUGN Line 90,2017-01-01T00:00:00Z to 2026-12-27T00:00:00Z
st,total,depth,al,st_total_depth_al.nc,time=296; depth=50; distance=45,10,temperature; salinity; chlorophyll_a; sigma_t; potential_temperature; geostrophic_velocity; doppler_velocity_along; doppler_velocity_across; acoustic_backscatter; doxy,2019-01-01,2026-12-27,296.0,Total for CUGN Alongshore Line,2019-01-01T00:00:00Z to 2026-12-27T00:00:00Z
st,total,sigma,56,st_total_sigma_56.nc,time=259; potential_density=21; distance=61,10,temperature; salinity; chlorophyll_a; sigma_t; potential_temperature; geostrophic_velocity; doppler_velocity_along; doppler_velocity_across; acoustic_backscatter; doxy,2020-01-01,2026-12-27,259.0,total for CUGN Line 56 on Potential Density,2020-01-01T00:00:00Z to 2026-12-27T00:00:00Z
st,total,sigma,66,st_total_sigma_66.nc,time=370; potential_density=21; distance=81,10,temperature; salinity; chlorophyll_a; sigma_t; potential_temperature; geostrophic_velocity; doppler_velocity_along; doppler_velocity_across; acoustic_backscatter; doxy,2017-01-01,2026-12-27,370.0,total for CUGN Line 66 on Potential Density,2017-01-01T00:00:00Z to 2026-12-27T00:00:00Z
st,total,sigma,80,st_total_sigma_80.nc,time=370; potential_density=21; distance=74,10,temperature; salinity; chlorophyll_a; sigma_t; potential_temperature; geostrophic_velocity; doppler_velocity_along; doppler_velocity_across; acoustic_backscatter; doxy,2017-01-01,2026-12-27,370.0,total for CUGN Line 80 on Potential Density,2017-01-01T00:00:00Z to 2026-12-27T00:00:00Z
st,total,sigma,90,st_total_sigma_90.nc,time=370; potential_density=21; distance=107,10,temperature; salinity; chlorophyll_a; sigma_t; potential_temperature; geostrophic_velocity; doppler_velocity_along; doppler_velocity_across; acoustic_backscatter; doxy,2017-01-01,2026-12-27,370.0,total for CUGN Line 90 on Potential Density,2017-01-01T00:00:00Z to 2026-12-27T00:00:00Z
st,total,sigma,al,st_total_sigma_al.nc,time=296; potential_density=21; distance=45,10,temperature; salinity; chlorophyll_a; sigma_t; potential_temperature; geostrophic_velocity; doppler_velocity_along; doppler_velocity_across; acoustic_backscatter; doxy,2019-01-01,2026-12-27,296.0,total for CUGN Alongshore Line on Potential Density,2019-01-01T00:00:00Z to 2026-12-27T00:00:00Z
